Roland Banks: The Fed	 Guardian		Investigator		Agency. Detective.	Core Set 1	
Ruth Turner: The Mortician	Mythos		Enemy		Humanoid. Cultist.	Core Set 141	Cult of Umôrdhoth 5
The Devourer Below	Mythos		Scenario			Core Set 142	The Devourer Below 1
The Arkham Woods	Mythos		Agenda			Core Set 143	The Devourer Below 2
The Ritual Begins	Mythos		Agenda			Core Set 144	The Devourer Below 3
Vengeance Awaits	Mythos		Agenda			Core Set 145	The Devourer Below 4
Investigating the Trail	Mythos		Act			Core Set 146	The Devourer Below 5
Into the Darkness	Mythos		Act			Core Set 147	The Devourer Below 6
Disrupting the Ritual	Mythos		Act			Core Set 148	The Devourer Below 7
Main Path	Mythos		Location		Woods.	Core Set 149	The Devourer Below 8
Arkham Woods: Unhallowed Ground	Mythos		Location		Woods.	Core Set 150	The Devourer Below 9
Arkham Woods: Twisting Paths	Mythos		Location		Woods.	Core Set 151	The Devourer Below 10
Arkham Woods: Old House	Mythos		Location		Woods.	Core Set 152	The Devourer Below 11
Arkham Woods: Cliffside	Mythos		Location		Woods.	Core Set 153	The Devourer Below 12
Arkham Woods: Tangled Thicket	Mythos		Location		Woods.	Core Set 154	The Devourer Below 13
Arkham Woods: Quiet Glade	Mythos		Location		Woods.	Core Set 155	The Devourer Below 14
Ritual Site	Mythos		Location		Cave.	Core Set 156	The Devourer Below 15
Umôrdhoth: The Devourer Below	Mythos		Enemy		Ancient One. Elite.	Core Set 157	The Devourer Below 16
Umôrdhoth's Wrath	Mythos		Treachery		Curse.	Core Set 158	The Devourer Below 17-18
Swarm of Rats	Mythos		Enemy		Creature.	Core Set 159	Rats 1-3
Ghoul Minion	Mythos		Enemy		Humanoid. Monster. Ghoul.	Core Set 160	Ghouls 1-3
Ravenous Ghoul	Mythos		Enemy		Humanoid. Monster. Ghoul.	Core Set 161	Ghouls 4
Grasping Hands	Mythos		Treachery		Hazard.	Core Set 162	Ghouls 5-7
Rotting Remains	Mythos		Treachery		Terror.	Core Set 163	Striking Fear 1-3
Frozen in Fear	Mythos		Treachery		Terror.	Core Set 164	Striking Fear 4-5
Dissonant Voices	Mythos		Treachery		Terror.	Core Set 165	Striking Fear 6-7
Ancient Evils	Mythos		Treachery		Omen.	Core Set 166	Ancient Evils 1-3
Crypt Chill	Mythos		Treachery		Hazard.	Core Set 167	Chilling Cold 1-2
Obscuring Fog	Mythos		Treachery		Hazard.	Core Set 168	Chilling Cold 3-4
Acolyte	Mythos		Enemy		Humanoid. Cultist.	Core Set 169	Dark Cult 1-3
Wizard of the Order	Mythos		Enemy		Humanoid. Cultist.	Core Set 170	Dark Cult 4
Mysterious Chanting	Mythos		Treachery		Hex.	Core Set 171	Dark Cult 5-6
Hunting Nightgaunt	Mythos		Enemy		Monster. Nightgaunt.	Core Set 172	Nightgaunts 1-2
On Wings of Darkness	Mythos		Treachery			Core Set 173	Nightgaunts 3-4
Locked Door	Mythos		Treachery		Obstacle.	Core Set 174	Locked Doors 1-2
Screeching Byakhee	Mythos		Enemy		Monster. Byakhee.	Core Set 175	Agents of Hastur 1-2
The Yellow Sign	Mythos		Treachery		Omen.	Core Set 176	Agents of Hastur 3-4
Yithian Observer	Mythos		Enemy		Monster. Yithian.	Core Set 177	Agents of Yog-Sothoth 1-2
Offer of Power	Mythos		Treachery		Pact.	Core Set 178	Agents of Yog-Sothoth 3-4
Relentless Dark Young	Mythos		Enemy		Monster. Dark Young.	Core Set 179	Agents of Shub-Niggurath 1
Goat Spawn	Mythos		Enemy		Humanoid. Monster.	Core Set 180	Agents of Shub-Niggurath 2-4
Young Deep One	Mythos		Enemy		Humanoid. Monster. Deep One.	Core Set 181	Agents of Cthulhu 1-2
Dreams of R'lyeh	Mythos		Treachery		Omen.	Core Set 182	Agents of Cthulhu 3-4
