Carolyn Fern: The Psychologist	 Guardian		Investigator		Medic.	The Circle Undone 1	
Able Bodied	 Survivor		Skill	 	Innate.	The Circle Undone 38	
Five of Pentacles: From the Brink (1)	 Survivor	3	Asset		Tarot.	The Circle Undone 39	
Ace of Rods: The Fateful Step (1)	Neutral	3	Asset		Tarot.	The Circle Undone 40	
The 13th Vision	Neutral		Treachery		Omen.	The Circle Undone 41	
The Tower • XVI: Circumstances Beyond Your Control	Neutral	4	Asset		Omen. Tarot.	The Circle Undone 42	
Disappearance at the Twilight Estate	Mythos		Scenario			The Circle Undone 43	Disappearance at the Twilight Estate 1
JUDGEMENT • XX	Mythos		Agenda			The Circle Undone 44	Disappearance at the Twilight Estate 2
The Disappearance	Mythos		Act			The Circle Undone 45	Disappearance at the Twilight Estate 3
Gavriella Mizrah: Private Security	Neutral		Investigator		Veteran.	The Circle Undone 46	Disappearance at the Twilight Estate 4
Jerome Davids: Josef's Secretary	Neutral		Investigator		Assistant. Silver Twilight.	The Circle Undone 47	Disappearance at the Twilight Estate 5
Valentino Rivas: Wealthy Philanthropist	Neutral		Investigator		Silver Twilight. Socialite.	The Circle Undone 48	Disappearance at the Twilight Estate 6
Penny White: Josef's Housekeeper	Neutral		Investigator		Assistant.	The Circle Undone 49	Disappearance at the Twilight Estate 7
The Witching Hour	Mythos		Scenario			The Circle Undone 50	The Witching Hour 1
TEMPERANCE • XIV	Mythos		Agenda			The Circle Undone 51	The Witching Hour 2
The Night Howls	Mythos		Agenda			The Circle Undone 52	The Witching Hour 3
Lost in the Woods	Mythos		Act			The Circle Undone 53	The Witching Hour 4
Witch Hauntings	Mythos		Act			The Circle Undone 54	The Witching Hour 5
Paths into Twilight	Mythos		Act			The Circle Undone 55	The Witching Hour 6
A Circle Unbroken	Mythos		Act			The Circle Undone 56	The Witching Hour 7
Anette Mason: The High Priestess	Mythos		Enemy		Humanoid. Witch. Elite.	The Circle Undone 57	The Witching Hour 8
Witch-Haunted Woods: Abandoned Mine	Mythos		Location		Woods.	The Circle Undone 58	The Witching Hour 9
Witch-Haunted Woods: Cairn Stones	Mythos		Location		Woods.	The Circle Undone 59	The Witching Hour 10
Witch-Haunted Woods: The Lonely Tree	Mythos		Location		Woods.	The Circle Undone 60	The Witching Hour 11
Witch-Haunted Woods: Child's Tree House	Mythos		Location		Woods.	The Circle Undone 61	The Witching Hour 12
Witch-Haunted Woods: Tainted Well	Mythos		Location		Woods.	The Circle Undone 62	The Witching Hour 13
Witch-Haunted Woods: Hermit's House	Mythos		Location		Woods.	The Circle Undone 63	The Witching Hour 14
Witch-Haunted Woods: Overgrown Barn	Mythos		Location		Woods.	The Circle Undone 64	The Witching Hour 15
At Death's Doorstep	Mythos		Scenario			The Circle Undone 65	At Death's Doorstep 1
JUSTICE • XI	Mythos		Agenda			The Circle Undone 66	At Death's Doorstep 2
Over the Threshold	Mythos		Agenda			The Circle Undone 67	At Death's Doorstep 3
Hidden Agendas	Mythos		Act			The Circle Undone 68	At Death's Doorstep 4
The Spectral Realm	Mythos		Act			The Circle Undone 69	At Death's Doorstep 5
Escape the Cage	Mythos		Act			The Circle Undone 70	At Death's Doorstep 6
Entry Hall	Mythos		Location			The Circle Undone 71	At Death's Doorstep 7
Victorian Halls	Mythos		Location			The Circle Undone 72	At Death's Doorstep 8
Trophy Room	Mythos		Location			The Circle Undone 73	At Death's Doorstep 9
Billiards Room	Mythos		Location			The Circle Undone 74	At Death's Doorstep 10
Master Bedroom	Mythos		Location			The Circle Undone 75	At Death's Doorstep 11
Balcony	Mythos		Location			The Circle Undone 76	At Death's Doorstep 12
Office	Mythos		Location			The Circle Undone 77	At Death's Doorstep 13
Entry Hall	Mythos		Location		Spectral.	The Circle Undone 78	At Death's Doorstep 14
Victorian Halls	Mythos		Location		Spectral.	The Circle Undone 79	At Death's Doorstep 15
Trophy Room	Mythos		Location		Spectral.	The Circle Undone 80	At Death's Doorstep 16
Billiards Room	Mythos		Location		Spectral.	The Circle Undone 81	At Death's Doorstep 17
Master Bedroom	Mythos		Location		Spectral.	The Circle Undone 82	At Death's Doorstep 18
Balcony	Mythos		Location		Spectral.	The Circle Undone 83	At Death's Doorstep 19
Office	Mythos		Location		Spectral.	The Circle Undone 84	At Death's Doorstep 20
Josef Meiger: Lodge Host	Mythos		Enemy		Humanoid. Cultist. Silver Twilight. Elite.	The Circle Undone 85	At Death's Doorstep 21
Josef's Plan	Mythos		Story			The Circle Undone 85	At Death's Doorstep 21
The Spectral Watcher: You Are Its Prey	Mythos		Enemy		Ancient One. Spectral. Elite.	The Circle Undone 86	The Watcher 1
Watcher's Grasp	Mythos		Treachery		Power. Spectral.	The Circle Undone 87	The Watcher 2-3
Piper of Azathoth	Mythos		Enemy		Monster. Elite.	The Circle Undone 88	Agents of Azathoth 1
Daemonic Piping	Mythos		Treachery		Power. Terror.	The Circle Undone 89	Agents of Azathoth 2-4
Coven Initiate	Mythos		Enemy		Humanoid. Witch.	The Circle Undone 90	Anette's Coven 1-3
Priestess of the Coven	Mythos		Enemy		Humanoid. Witch.	The Circle Undone 91	Anette's Coven 4
Diabolic Voices	Mythos		Treachery		Curse.	The Circle Undone 92	Witchcraft 1-3
Wracked	Mythos		Treachery		Hex.	The Circle Undone 93	Witchcraft 4-5
Bedeviled	Mythos		Treachery		Hex.	The Circle Undone 94	Witchcraft 6-7
Lodge Neophyte	Mythos		Enemy		Humanoid. Cultist. Silver Twilight.	The Circle Undone 95	Silver Twilight Lodge 1-3
Keeper of Secrets	Mythos		Enemy		Humanoid. Cultist. Silver Twilight.	The Circle Undone 96	Silver Twilight Lodge 4
Mysteries of the Lodge	Mythos		Treachery		Scheme.	The Circle Undone 97	Silver Twilight Lodge 5-6
Evil Past	Mythos		Treachery		Curse.	The Circle Undone 98	City of Sins 1-2
Centuries of Secrets	Mythos		Treachery		Curse.	The Circle Undone 99	City of Sins 3-5
Nether Mist	Mythos		Enemy		Monster. Spectral.	The Circle Undone 100	Spectral Predators 1
Shadow Hound	Mythos		Enemy		Monster. Spectral.	The Circle Undone 101	Spectral Predators 2-3
Whispers in the Dark	Mythos		Treachery		Omen. Spectral.	The Circle Undone 102	Spectral Predators 4-5
Wraith	Mythos		Enemy		Monster. Geist. Spectral.	The Circle Undone 103	Trapped Spirits 1-2
Trapped Spirits	Mythos		Treachery		Terror. Spectral.	The Circle Undone 104	Trapped Spirits 3-4
Realm of Torment	Mythos		Treachery		Terror. Spectral.	The Circle Undone 105	Realm of Death 1-2
Shapes in the Mist	Mythos		Treachery		Terror. Spectral.	The Circle Undone 106	Realm of Death 3-4
Terror in the Night	Mythos		Treachery		Terror. Spectral.	The Circle Undone 107	Inexorable Fate 1-3
Fate of All Fools	Mythos		Treachery		Omen. Spectral.	The Circle Undone 108	Inexorable Fate 4-6
Something Worth Fighting For	 Guardian	3	Asset		Talent.	The Secret Name 109	
Crack the Case	 Seeker	0	Event		Insight.	The Secret Name 110	
Intel Report	 Rogue	2	Event	 	Favor. Service.	The Secret Name 111	
Sign Magick	 Mystic	3	Asset		Ritual. Talent.	The Secret Name 112	
Banish (1)	 Mystic	2	Event	 	Spell.	The Secret Name 113	
Meat Cleaver	 Survivor	3	Asset		Item. Weapon. Melee.	The Secret Name 114	
.45 Thompson		6	Asset		Item. Weapon. Firearm. Illicit.	The Secret Name 115	
Scroll of Secrets		1	Asset		Item. Tome.	The Secret Name 116	
Tennessee Sour Mash		3	Asset		Item. Illicit.	The Secret Name 117	
Enchanted Blade		3	Asset		Item. Relic. Weapon. Melee.	The Secret Name 118	
Grisly Totem		3	Asset		Item. Charm.	The Secret Name 119	
The Secret Name	Mythos		Scenario			The Secret Name 120	The Secret Name 1
THE HERMIT • IX	Mythos		Agenda			The Secret Name 121	The Secret Name 2
The Familiar	Mythos		Agenda			The Secret Name 122	The Secret Name 3
The Witch Light	Mythos		Agenda			The Secret Name 123	The Secret Name 4
Marked for Sacrifice	Mythos		Agenda			The Secret Name 124	The Secret Name 5
Investigating the Witch House	Mythos		Act			The Secret Name 125	The Secret Name 6
Beyond the Witch House	Mythos		Act			The Secret Name 126	The Secret Name 7
Stopping the Ritual	Mythos		Act			The Secret Name 127	The Secret Name 8
Moldy Halls	Mythos		Location		Witch House.	The Secret Name 128	The Secret Name 9
Landlord's Quarters	Mythos		Location		Witch House.	The Secret Name 129	The Secret Name 10
Joe Mazurewicz's Room	Mythos		Location		Witch House.	The Secret Name 130	The Secret Name 11
Frank Elwood's room	Mythos		Location		Witch House.	The Secret Name 131	The Secret Name 12
Walter Gilman's Room	Mythos		Location		Witch House.	The Secret Name 132	The Secret Name 13
Keziah's Room	Mythos		Location		Spectral. Witch House.	The Secret Name 133	The Secret Name 14
Moldy Halls: Earlier Tonight	Mythos		Location		Extradimensional. Witch House.	The Secret Name 134	The Secret Name 15
Twilight Abyss	Mythos		Location		Extradimensional. Otherworld.	The Secret Name 135	The Secret Name 16
City of Elder Things	Mythos		Location		Extradimensional. Otherworld.	The Secret Name 136	The Secret Name 17
Witch House Ruins	Mythos		Location		Extradimensional. Witch House.	The Secret Name 137	The Secret Name 18
Salem Gaol, 1692	Mythos		Location		Extradimensional. Salem.	The Secret Name 138	The Secret Name 19
Physics Classroom	Mythos		Location		Extradimensional. Miskatonic.	The Secret Name 139	The Secret Name 20
Court of the Great Old Ones: A Not-Too-Distant Future	Mythos		Location		Extradimensional. Otherworld.	The Secret Name 140	The Secret Name 21
Site of the Sacrifice	Mythos		Location		Extradimensional. Witch House.	The Secret Name 141	The Secret Name 22
Strange Geometry	Mythos		Location		Extradimensional.	The Secret Name 142	The Secret Name 23-24
Meddlesome Familiar	Mythos		Treachery		Curse.	The Secret Name 143	The Secret Name 25-27
Ghostly Presence	Mythos		Treachery		Omen.	The Secret Name 144	The Secret Name 28-29
Extradimensional Visions	Mythos		Treachery		Hex.	The Secret Name 145	The Secret Name 30-31
Pulled by the Stars	Mythos		Treachery		Hex.	The Secret Name 146	The Secret Name 32-33
Disquieting Dreams	Mythos		Treachery		Terror.	The Secret Name 147	The Secret Name 34-35
Brown Jenkin: The Witch's Familiar	Mythos		Enemy		Creature. Familiar. Elite.	The Secret Name 148	The Secret Name 36
Nahab: She Who Signed the Black Book	Mythos		Enemy		Monster. Geist. Witch. Elite.	The Secret Name 149	The Secret Name 37
The Black Book: Signed in Blood	Neutral	3	Asset	  	Item. Tome. Relic.	The Secret Name 150	The Secret Name 38
Alice Luxley: Fearless Flatfoot	 Guardian	4	Asset		Ally. Detective. Police.	The Wages of Sin 151	
Well-Maintained (1)	 Guardian	0	Event		Upgrade.	The Wages of Sin 152	
Mr. "Rook": Dealer in Secrets	 Seeker	3	Asset		Ally.	The Wages of Sin 153	
Hawk-Eye Folding Camera	 Seeker	2	Asset		Item. Tool.	The Wages of Sin 154	
Henry Wan: Aspiring Actor	 Rogue	3	Asset		Ally. Criminal.	The Wages of Sin 155	
Swift Reflexes	 Rogue	2	Event	 	Gambit.	The Wages of Sin 156	
Wither	 Mystic	2	Asset		Spell.	The Wages of Sin 157	
Sixth Sense	 Mystic	3	Asset		Spell.	The Wages of Sin 158	
Drawing Thin	 Survivor	0	Asset		Talent.	The Wages of Sin 159	
Belly of the Beast	 Survivor	1	Event	 	Gambit. Trick.	The Wages of Sin 160	
The Wages of Sin	Mythos		Scenario			The Wages of Sin 161	The Wages of Sin 1
THE HANGED MAN · XII	Mythos		Agenda			The Wages of Sin 162	The Wages of Sin 2
Death's Approach	Mythos		Agenda			The Wages of Sin 163	The Wages of Sin 3
In Pursuit of the Dead	Mythos		Act			The Wages of Sin 164	The Wages of Sin 4
In Pursuit of the Living	Mythos		Act			The Wages of Sin 165	The Wages of Sin 5
Hangman's Brook	Mythos		Location			The Wages of Sin 166	The Wages of Sin 6
Haunted Fields	Mythos		Location			The Wages of Sin 167	The Wages of Sin 7
Abandoned Chapel	Mythos		Location			The Wages of Sin 168	The Wages of Sin 8
The Gallows	Mythos		Location			The Wages of Sin 169	The Wages of Sin 9
The Gallows	Mythos		Location			The Wages of Sin 170	The Wages of Sin 10
Heretics' Graves	Mythos		Location			The Wages of Sin 171	The Wages of Sin 11
Heretics' Graves	Mythos		Location			The Wages of Sin 172	The Wages of Sin 12
Chapel Crypt	Mythos		Location			The Wages of Sin 173	The Wages of Sin 13
Chapel Crypt	Mythos		Location			The Wages of Sin 174	The Wages of Sin 14
Chapel Attic	Mythos		Location			The Wages of Sin 175	The Wages of Sin 15
Chapel Attic	Mythos		Location			The Wages of Sin 176	The Wages of Sin 16
Spectral Web	Neutral	0	Asset		Spell.	The Wages of Sin 177	The Wages of Sin 17-20
Heretic	Mythos		Enemy		Monster. Geist. Witch. Spectral. Elite.	The Wages of Sin 178	The Wages of Sin 21
Heretic	Mythos		Enemy		Monster. Geist. Witch. Spectral. Elite.	The Wages of Sin 178	The Wages of Sin 22
Heretic	Mythos		Enemy		Monster. Geist. Witch. Spectral. Elite.	The Wages of Sin 178	The Wages of Sin 23
Heretic	Mythos		Enemy		Monster. Geist. Witch. Spectral. Elite.	The Wages of Sin 178	The Wages of Sin 24
Heretic	Mythos		Enemy		Monster. Geist. Witch. Spectral. Elite.	The Wages of Sin 178	The Wages of Sin 25
Heretic	Mythos		Enemy		Monster. Geist. Witch. Spectral. Elite.	The Wages of Sin 178	The Wages of Sin 26
Vengeful Witch	Mythos		Enemy		Humanoid. Witch.	The Wages of Sin 179	The Wages of Sin 27-28
Malevolent Spirit	Mythos		Enemy		Monster. Geist. Spectral.	The Wages of Sin 180	The Wages of Sin 29-30
Punishment	Mythos		Treachery		Hex.	The Wages of Sin 181	The Wages of Sin 31-32
Burdens of the Past	Mythos		Treachery		Curse. Spectral.	The Wages of Sin 182	The Wages of Sin 33-34
Ominous Portents	Mythos		Treachery		Omen.	The Wages of Sin 183	The Wages of Sin 35-36
Grave-Light	Mythos		Treachery		Curse.	The Wages of Sin 184	The Wages of Sin 37-38
Bane of the Living	Mythos		Treachery		Curse. Spectral.	The Wages of Sin 185	The Wages of Sin 39-40
.45 Thompson (3)	 Guardian	6	Asset	 	Item. Weapon. Firearm. Illicit.	For the Greater Good 186	
.45 Thompson (3)	 Rogue	5	Asset	 	Item. Weapon. Firearm. Illicit.	For the Greater Good 187	
Scroll of Secrets (3)	 Seeker	1	Asset	 	Item. Tome.	For the Greater Good 188	
Scroll of Secrets (3)	 Mystic	1	Asset	 	Item. Tome.	For the Greater Good 189	
Tennessee Sour Mash (3)	 Rogue	3	Asset	 	Item. Illicit.	For the Greater Good 190	
Tennessee Sour Mash (3)	 Survivor	2	Asset	 	Item. Illicit.	For the Greater Good 191	
Enchanted Blade (3)	 Guardian	3	Asset	 	Item. Relic. Weapon. Melee.	For the Greater Good 192	
Enchanted Blade (3)	 Mystic	3	Asset	 	Item. Relic. Weapon. Melee.	For the Greater Good 193	
Grisly Totem (3)	 Seeker	3	Asset	 	Item. Charm. Cursed.	For the Greater Good 194	
Grisly Totem (3)	 Survivor	2	Asset	 	Item. Charm. Blessed.	For the Greater Good 195	
The Council's Coffer: What’s in the Box? (2)	Neutral	0	Asset		Item. Relic.	For the Greater Good 196	
For the Greater Good	Mythos		Scenario			For the Greater Good 197	For the Greater Good 1
THE HIEROPHANT · V	Mythos		Agenda			For the Greater Good 198	For the Greater Good 2
Ends and Means	Mythos		Agenda			For the Greater Good 199	For the Greater Good 3
Warm Welcome	Mythos		Act			For the Greater Good 200	For the Greater Good 4
Infiltrating the Lodge	Mythos		Act			For the Greater Good 201	For the Greater Good 5
Obtaining the Device	Mythos		Act			For the Greater Good 202	For the Greater Good 6
The Four Keys	Mythos		Act			For the Greater Good 203	For the Greater Good 7
Lodge Gates: We’ve Been Expecting You	Mythos		Location		Lodge.	For the Greater Good 204	For the Greater Good 8
Lodge Gates: Members Only	Mythos		Location		Lodge.	For the Greater Good 205	For the Greater Good 9
Lobby: We’ve Been Expecting You	Mythos		Location		Lodge.	For the Greater Good 206	For the Greater Good 10
Lobby: Members Only	Mythos		Location		Lodge.	For the Greater Good 207	For the Greater Good 11
Lodge Cellar: We’ve Been Expecting You	Mythos		Location		Lodge.	For the Greater Good 208	For the Greater Good 12
Lodge Cellar: Members Only	Mythos		Location		Lodge.	For the Greater Good 209	For the Greater Good 13
Lounge	Mythos		Location		Lodge.	For the Greater Good 210	For the Greater Good 14
Vault	Mythos		Location		Lodge.	For the Greater Good 211	For the Greater Good 15
Library	Mythos		Location		Lodge.	For the Greater Good 212	For the Greater Good 16
Lodge Catacombs	Mythos		Location		Lodge. Sanctum.	For the Greater Good 213	For the Greater Good 17
Ceremony Room	Mythos		Location		Lodge. Sanctum.	For the Greater Good 214	For the Greater Good 18
Holding Cells	Mythos		Location		Lodge. Sanctum.	For the Greater Good 215	For the Greater Good 19
Inner Sanctum	Mythos		Location		Lodge. Sanctum.	For the Greater Good 216	For the Greater Good 20
Nathan Wick: Master of Initiation	Mythos		Enemy		Humanoid. Cultist. Silver Twilight. Elite.	For the Greater Good 217	For the Greater Good 21
Lodge Jailor	Mythos		Enemy		Humanoid. Cultist. Silver Twilight.	For the Greater Good 218	For the Greater Good 22
Cell Keeper	Mythos		Enemy		Humanoid. Cultist. Silver Twilight.	For the Greater Good 219	For the Greater Good 23
Summoned Beast: Guardian of the Trap	Mythos		Enemy		Monster. Silver Twilight. Elite.	For the Greater Good 220	For the Greater Good 24
Knight of the Inner Circle	Mythos		Enemy		Humanoid. Cultist. Silver Twilight.	For the Greater Good 221	For the Greater Good 25-26
Knight of the Outer Void	Mythos		Enemy		Humanoid. Cultist. Silver Twilight.	For the Greater Good 222	For the Greater Good 27-28
Call to Order	Mythos		Treachery		Scheme.	For the Greater Good 223	For the Greater Good 29-30
Expulsion	Mythos		Treachery		Scheme.	For the Greater Good 224	For the Greater Good 31-32
Beneath the Lodge	Mythos		Treachery		Scheme.	For the Greater Good 225	For the Greater Good 33-34
Mark of the Order	Mythos		Treachery		Scheme.	For the Greater Good 226	For the Greater Good 35-36
August Lindquist: Elegant and Elusive	Neutral		Asset		Cultist. Silver Twilight.	For the Greater Good 227	For the Greater Good 37
Puzzle Box: Mysterious Device	Neutral	0	Asset		Item. Relic.	For the Greater Good 228	For the Greater Good 38
Warning Shot	 Guardian	2	Event	 	Tactic. Trick.	Union and Disillusion 229	
Telescopic Sight (3)	 Guardian	3	Event	  	Item. Upgrade.	Union and Disillusion 230	
Knowledge is Power	 Seeker	0	Event	 	Insight.	Union and Disillusion 231	
Esoteric Atlas (1)	 Seeker	3	Asset		Item. Tome.	Union and Disillusion 232	
Investments	 Rogue	1	Asset		Connection.	Union and Disillusion 233	
Decoy	 Rogue	2	Event	 	Favor. Service.	Union and Disillusion 234	
De Vermis Mysteriis: Signs of the Black Stars (2)	 Mystic	2	Asset		Item. Tome.	Union and Disillusion 235	
Guiding Spirit (1)	 Survivor	1	Asset		Ally. Geist.	Union and Disillusion 236	
Fortune or Fate (2)	 Survivor	2	Event		Fortune. Blessed.	Union and Disillusion 237	
Union and Disillusion	Mythos		Scenario			Union and Disillusion 238	Union and Disillusion 1
THE LOVERS · VI	Mythos		Agenda			Union and Disillusion 239	Union and Disillusion 2
Crossroads of Fate	Mythos		Agenda			Union and Disillusion 240	Union and Disillusion 3
The Unvisited Isle	Mythos		Act			Union and Disillusion 241	Union and Disillusion 4
Fated Souls	Mythos		Act			Union and Disillusion 242	Union and Disillusion 5
Beyond the Mist (v. I)	Mythos		Act			Union and Disillusion 243	Union and Disillusion 6
Beyond the Mist (v. II)	Mythos		Act			Union and Disillusion 244	Union and Disillusion 7
Beyond the Mist (v. III)	Mythos		Act			Union and Disillusion 245	Union and Disillusion 8
Beyond the Mist (v. IV)	Mythos		Act			Union and Disillusion 246	Union and Disillusion 9
The Binding Rite	Mythos		Act			Union and Disillusion 247	Union and Disillusion 10
The Broken Rite	Mythos		Act			Union and Disillusion 248	Union and Disillusion 11
Miskatonic River	Mythos		Location		River.	Union and Disillusion 249	Union and Disillusion 12
Forbidding Shore	Mythos		Location		Woods.	Union and Disillusion 250	Union and Disillusion 13
Unvisited Isle: Standing Stones	Mythos		Location		Woods.	Union and Disillusion 251	Union and Disillusion 14
Unvisited Isle: Misty Clearing	Mythos		Location		Woods.	Union and Disillusion 252	Union and Disillusion 15
Unvisited Isle: Forsaken Woods	Mythos		Location		Woods.	Union and Disillusion 253	Union and Disillusion 16
Unvisited Isle: Moss-Covered Steps	Mythos		Location		Woods.	Union and Disillusion 254	Union and Disillusion 17
Unvisited Isle: Haunted Spring	Mythos		Location		Woods.	Union and Disillusion 255	Union and Disillusion 18
Unvisited Isle: Decayed Willow	Mythos		Location		Woods.	Union and Disillusion 256	Union and Disillusion 19
The Geist-Trap	Mythos		Location		Woods. Spectral.	Union and Disillusion 257	Union and Disillusion 20
Gavriella Mizrah: Not Going Down That Easily	Neutral	2	Asset	 	Ally. Veteran.	Union and Disillusion 258	Union and Disillusion 21
Jerome Davids: In Way Over His Head	Neutral	2	Asset	 	Ally. Assistant.	Union and Disillusion 259	Union and Disillusion 22
Penny White: The Nightmare is Over	Neutral	2	Asset	 	Ally. Assistant.	Union and Disillusion 260	Union and Disillusion 23
Valentino Rivas: Took You Long Enough	Neutral	2	Asset	 	Ally. Socialite.	Union and Disillusion 261	Union and Disillusion 24
Gavriella's Fate	Mythos		Story			Union and Disillusion 262	Union and Disillusion 25
Jerome's Fate	Mythos		Story			Union and Disillusion 263	Union and Disillusion 26
Penny's Fate	Mythos		Story			Union and Disillusion 264	Union and Disillusion 27
Valentino's Fate	Mythos		Story			Union and Disillusion 265	Union and Disillusion 28
Whippoorwill	Mythos		Enemy		Creature.	Union and Disillusion 266	Union and Disillusion 29-31
Spectral Raven	Mythos		Enemy		Creature. Spectral.	Union and Disillusion 267	Union and Disillusion 32-33
Eager for Death	Mythos		Treachery		Omen.	Union and Disillusion 268	Union and Disillusion 34-35
Psychopomp's Song	Mythos		Treachery		Omen.	Union and Disillusion 269	Union and Disillusion 36-37
Death Approaches	Mythos		Treachery		Terror.	Union and Disillusion 270	Union and Disillusion 38-39
Marked for Death	Mythos		Treachery		Curse.	Union and Disillusion 271	Union and Disillusion 40-41
Watcher's Gaze	Mythos		Treachery		Curse.	Union and Disillusion 272	Union and Disillusion 42
Mk 1 Grenades (4)	 Guardian	3	Asset		Item. Weapon. Ranged.	In the Clutches of Chaos 273	
Agency Backup (5)	 Guardian	7	Asset	  	Ally. Agency.	In the Clutches of Chaos 274	
Ghastly Revelation	 Seeker	0	Event	 	Spirit.	In the Clutches of Chaos 275	
Studious (3)	 Seeker		Asset		Talent.	In the Clutches of Chaos 276	
Small Favor	 Rogue	2	Event	 	Favor. Service.	In the Clutches of Chaos 277	
Another Day, Another Dollar (3)	 Rogue		Asset		Talent.	In the Clutches of Chaos 278	
Dayana Esperence: Deals with "Devils" (3)	 Mystic	4	Asset	 	Ally. Witch.	In the Clutches of Chaos 279	
Deny Existence (5)	 Mystic	0	Event		Spell. Paradox.	In the Clutches of Chaos 280	
Trial by Fire	 Survivor	3	Event		Spirit.	In the Clutches of Chaos 281	
Bait and Switch (3)	 Survivor	1	Event	  	Tactic.	In the Clutches of Chaos 282	
Anna Kaslow: Mysterious Soothsayer (4)	Neutral	3	Asset		Ally. Clairvoyant.	In the Clutches of Chaos 283	
In the Clutches of Chaos	Mythos		Scenario			In the Clutches of Chaos 284	In the Clutches of Chaos 1
THE CHARIOT · VII	Mythos		Agenda			In the Clutches of Chaos 285	In the Clutches of Chaos 2
Dark Knowledge (v. I)	Mythos		Act			In the Clutches of Chaos 286	Music of the Damned 1
Beyond the Grave	Mythos		Act			In the Clutches of Chaos 287	Music of the Damned 2
Dark Knowledge (v. II)	Mythos		Act			In the Clutches of Chaos 288	Secrets of the Universe 1
New World Order	Mythos		Act			In the Clutches of Chaos 289	Secrets of the Universe 2
French Hill	Mythos		Location		Arkham.	In the Clutches of Chaos 290	In the Clutches of Chaos 3
French Hill	Mythos		Location		Arkham.	In the Clutches of Chaos 291	In the Clutches of Chaos 4
Rivertown	Mythos		Location		Arkham.	In the Clutches of Chaos 292	In the Clutches of Chaos 5
Rivertown	Mythos		Location		Arkham.	In the Clutches of Chaos 293	In the Clutches of Chaos 6
Southside	Mythos		Location		Arkham. Central.	In the Clutches of Chaos 294	In the Clutches of Chaos 7
Southside	Mythos		Location		Arkham. Central.	In the Clutches of Chaos 295	In the Clutches of Chaos 8
Uptown	Mythos		Location		Arkham.	In the Clutches of Chaos 296	In the Clutches of Chaos 9
Uptown	Mythos		Location		Arkham.	In the Clutches of Chaos 297	In the Clutches of Chaos 10
