.32 Colt (2)	 Guardian	2	Asset	 	Item. Weapon. Firearm.	Return to the Path to Carcosa 1	
Notre-Dame	Mythos		Location		Paris. Rail.	Return to the Path to Carcosa 44	Return to A Phantom of Truth 6
Gardens of Luxembourg	Mythos		Location		Paris.	Return to the Path to Carcosa 45	Return to A Phantom of Truth 7
Figure in the Shadows	Mythos		Treachery		Scheme.	Return to the Path to Carcosa 46	Return to A Phantom of Truth 8-9
Return to The Pallid Mask	Mythos		Scenario		Return.	Return to the Path to Carcosa 47	Return to The Pallid Mask 1
Secret Passage	Mythos		Location			Return to the Path to Carcosa 48	Return to The Pallid Mask 2
Mound of Bones	Mythos		Location			Return to the Path to Carcosa 49	Return to The Pallid Mask 3
Research Site	Mythos		Location			Return to the Path to Carcosa 50	Return to The Pallid Mask 4
Sea of Skulls	Mythos		Location			Return to the Path to Carcosa 51	Return to The Pallid Mask 5
Malformed Skeleton	Mythos		Enemy		Monster.	Return to the Path to Carcosa 52	Return to The Pallid Mask 6
Return to Black Stars Rise	Mythos		Scenario		Return.	Return to the Path to Carcosa 53	Return to Black Stars Rise 1
Cloister	Mythos		Location			Return to the Path to Carcosa 54	Return to Black Stars Rise 2
Knight's Hall	Mythos		Location			Return to the Path to Carcosa 55	Return to Black Stars Rise 3
Hastur's Gaze	Mythos		Treachery			Return to the Path to Carcosa 56	Return to Black Stars Rise 4
Hastur's Grasp	Mythos		Treachery			Return to the Path to Carcosa 57	Return to Black Stars Rise 5
Return to Dim Carcosa	Mythos		Scenario		Return.	Return to the Path to Carcosa 58	Return to Dim Carcosa 1
Palace of the King: Hastur’s Domain	Mythos		Location		Otherworld.	Return to the Path to Carcosa 60	Return to Dim Carcosa 2
Recesses of Your Own Mind	Mythos		Location		???.	Return to the Path to Carcosa 60	Return to Dim Carcosa 3
The Throne Room	Mythos		Location		Otherworld.	Return to the Path to Carcosa 61	Return to Dim Carcosa 4
Stage of the Ward Theatre	Mythos		Location			Return to the Path to Carcosa 62	Return to Dim Carcosa 5
High Priest of Hastur	Mythos		Enemy		Humanoid. Cultist. Elite.	Return to the Path to Carcosa 64	Return to Dim Carcosa 6
Delusory Evils	Mythos		Treachery		Curse.	Return to the Path to Carcosa 64	Delusory Evils 1-3
Bleeding Walls	Mythos		Treachery		Terror.	Return to the Path to Carcosa 65	Decaying Reality 1-2
Fragile Thoughts	Mythos		Treachery		Terror.	Return to the Path to Carcosa 66	Decaying Reality 3-4
Maggot Swarm	Mythos		Enemy		Creature.	Return to the Path to Carcosa 67	Decaying Reality 5-6
Preying Byakhee	Mythos		Enemy		Monster. Byakhee.	Return to the Path to Carcosa 68	Hastur's Envoys 1-2
The Sign of Hastur	Mythos		Treachery		Pact. Power.	Return to the Path to Carcosa 69	Hastur's Envoys 3-4
Visions in Your Mind (Horrors)	Mythos		Treachery		Terror.	Return to the Path to Carcosa 71	Maddening Delusions 1
Visions in Your Mind (Failure)	Mythos		Treachery		Terror.	Return to the Path to Carcosa 72	Maddening Delusions 2
Visions in Your Mind (Death)	Mythos		Treachery		Terror.	Return to the Path to Carcosa 73	Maddening Delusions 3
Visions in Your Mind (Hatred)	Mythos		Treachery		Terror.	Return to the Path to Carcosa 74	Maddening Delusions 4
Maddening Delusions	Mythos		Treachery		Terror.	Return to the Path to Carcosa 74	Maddening Delusions 5-6
Voice of Tru'nembra	Mythos		Treachery		Terror.	Return to the Path to Carcosa 75	Neurotic Fear 1-3
Melancholy	Mythos		Treachery		Terror.	Return to the Path to Carcosa 76	Neurotic Fear 4-5
Painful Reflection	Mythos		Treachery		Terror.	Return to the Path to Carcosa 77	Neurotic Fear 6-7
